 ENTRY        THICPI           THIEX          USCPI
 1958:01  19.633176900000 21.100000000000 21.853500000000
 1958:02  20.479434525000 21.350000000000 21.879000000000
 1958:03  20.310183000000 21.100000000000 22.032000000000
 1958:04  20.648686050000 21.850000000000 22.083000000000
 1958:05  20.648686050000 21.650000000000 22.083000000000
 1958:06  20.987189100000 21.750000000000 22.108500000000
 1958:07  23.018207400000 21.800000000000 22.134000000000
 1958:08  22.848955875000 21.900000000000 22.108500000000
 1958:09  20.987189100000 21.850000000000 22.108500000000
 1958:10  21.156440625000 21.450000000000 22.108500000000
 1958:11  19.971679950000 21.600000000000 22.134000000000
 1958:12  20.310183000000 21.550000000000 22.108500000000
 1959:01  19.802428425000 21.500000000000 22.134000000000
 1959:02  20.140931475000 21.650000000000 22.108500000000
 1959:03  20.987189100000 21.600000000000 22.108500000000
 1959:04  21.156440625000 21.700000000000 22.134000000000
 1959:05  20.987189100000 21.800000000000 22.159500000000
 1959:06  20.479434525000 21.760000000000 22.261500000000
 1959:07  20.140931475000 21.950000000000 22.312500000000
 1959:08  20.140931475000 21.750000000000 22.287000000000
 1959:09  19.802428425000 22.050000000000 22.363500000000
 1959:10  19.463925375000 22.000000000000 22.440000000000
 1959:11  19.125422325000 21.900000000000 22.440000000000
 1959:12  19.463925375000 21.950000000000 22.440000000000
 1960:01  20.140931475000 21.900000000000 22.414500000000
 1960:02  19.802428425000 21.950000000000 22.440000000000
 1960:03  18.786919275000 21.120000000000 22.440000000000
 1960:04  18.786919275000 22.220000000000 22.567500000000
 1960:05  19.971679950000 22.250000000000 22.567500000000
 1960:06  19.125422325000 22.270000000000 22.618500000000
 1960:07  19.971679950000 21.900000000000 22.618500000000
 1960:08  20.817937575000 21.670000000000 22.618500000000
 1960:09  20.648686050000 21.800000000000 22.644000000000
 1960:10  20.817937575000 21.250000000000 22.746000000000
 1960:11  19.802428425000 21.700000000000 22.771500000000
 1960:12  20.648686050000 21.850000000000 22.771500000000
 1961:01  20.648686050000 21.950000000000 22.771500000000
 1961:02  20.817937575000 21.850000000000 22.771500000000
 1961:03  21.325692150000 22.300000000000 22.771500000000
 1961:04  21.664195200000 21.820000000000 22.771500000000
 1961:05  21.325692150000 21.050000000000 22.771500000000
 1961:06  21.156440625000 21.700000000000 22.797000000000
 1961:07  20.648686050000 21.550000000000 22.899000000000
 1961:08  20.987189100000 21.300000000000 22.873500000000
 1961:09  21.833446725000 21.200000000000 22.924500000000
 1961:10  21.494943675000 21.300000000000 22.924500000000
