  ENTRY        TAWCPI           TAWEX          USCPI
 1959:01  15.000000000000 51.800000000000 23.063628000000
 1959:02  15.110000000000 50.100000000000 23.037057000000
 1959:03  15.340000000000 50.000000000000 23.037057000000
 1959:04  15.320000000000 49.000000000000 23.063628000000
 1959:05  15.340000000000 48.800000000000 23.090199000000
 1959:06  15.600000000000 48.200000000000 23.196483000000
 1959:07  16.090000000000 47.600000000000 23.249625000000
 1959:08  16.940000000000 47.800000000000 23.223054000000
 1959:09  17.480000000000 47.900000000000 23.302767000000
 1959:10  17.200000000000 46.500000000000 23.382480000000
 1959:11  16.730000000000 44.600000000000 23.382480000000
 1959:12  16.690000000000 44.450000000000 23.382480000000
 1960:01  16.850000000000 46.000000000000 23.355909000000
 1960:02  17.230000000000 46.600000000000 23.382480000000
 1960:03  17.850000000000 46.250000000000 23.382480000000
 1960:04  18.680000000000 46.750000000000 23.515335000000
 1960:05  18.610000000000 48.500000000000 23.515335000000
 1960:06  19.130000000000 45.600000000000 23.568477000000
 1960:07  19.300000000000 44.150000000000 23.568477000000
 1960:08  20.130000000000 44.150000000000 23.568477000000
 1960:09  20.400000000000 43.150000000000 23.595048000000
 1960:10  20.210000000000 43.950000000000 23.701332000000
 1960:11  20.240000000000 42.550000000000 23.727903000000
 1960:12  19.880000000000 44.600000000000 23.727903000000
 1961:01  19.920000000000 44.900000000000 23.727903000000
 1961:02  20.290000000000 43.150000000000 23.727903000000
 1961:03  20.290000000000 41.350000000000 23.727903000000
 1961:04  20.440000000000 41.850000000000 23.727903000000
 1961:05  20.450000000000 42.200000000000 23.727903000000
 1961:06  20.460000000000 44.000000000000 23.754474000000
 1961:07  20.360000000000 44.600000000000 23.860758000000
 1961:08  20.610000000000 44.050000000000 23.834187000000
 1961:09  20.910000000000 43.750000000000 23.887329000000
 1961:10  21.070000000000 42.950000000000 23.887329000000
 1961:11  20.880000000000 42.550000000000 23.887329000000
 1961:12  20.700000000000 44.600000000000 23.887329000000
 1962:01  20.550000000000 44.500000000000 23.887329000000
 1962:02  20.790000000000 44.700000000000 23.940471000000
 1962:03  20.710000000000 44.750000000000 23.993613000000
 1962:04  20.800000000000 46.500000000000 24.046755000000
 1962:05  21.080000000000 49.800000000000 24.046755000000
 1962:06  20.960000000000 53.200000000000 24.046755000000
 1962:07  20.640000000000 45.050000000000 24.099897000000
 1962:08  20.850000000000 46.500000000000 24.099897000000
 1962:09  21.350000000000 46.750000000000 24.232752000000
 1962:10  21.730000000000 44.050000000000 24.206181000000
